Participant Name,Player 1 Name,Player 2 Name,Player 3 Name,Player 4 Name,Player 5 Name,Player 6 Name
Chris Horney,Sungjae Im,Xander Schuaffele,Aaron Rai,David Lipsky,Kensei Hirata,David Skinns
Kaitlin Horney,Nicolai Hojgaard,Matt Fitzpatrick,Emiliano Grillo,Doug Ghim,Alex Smalley,Joel Dahmen
Brandon Nelson,Brandt Snedeker,Rasmus Neergaard-Petersen,Kris Ventura,A.J. Ewart,Jordan Speith,Webb Simpson
Example Entry 4,Austin Smotherman,Kris Ventura,Adrien Dumont de Chassart,Davis Thompson,Nicolai Højgaard,Eric Cole
Example Entry 5,Justin Thomas,Billy Horschel,Patrick Cantlay,Marco Penge,Sam Ryder,Rico Hoey
Example Entry 6,Jacob Bridgeman,Chad Ramey,Kensei Hirata,Austin Smotherman,Andrew Putnam,David Ford
Example Entry 7,Ben Griffin,Gary Woodland,Eric Cole,Emiliano Grillo,David Lipsky,Brooks Koepka
Example Entry 8,Doug Ghim,Blades Brown,Danny Walker,Pierceson Coody,Patrick Fishburn,Kensei Hirata
Example Entry 9,Chandler Blanchet,Adrien Saddier,Tony Finau,Brandt Snedeker,Rico Hoey,Joel Dahmen
Example Entry 10,Sungjae Im,Eric Cole,Rasmus Neergaard-Petersen,Davis Thompson,Kris Ventura,Patrick Fishburn
Example Entry 11,Marco Penge,Matt Fitzpatrick,Patrick Fishburn,Nicolai Højgaard,Joel Dahmen,Zach Bauchou
Example Entry 12,David Ford,Seamus Power,Andrew Putnam,Luke Guthrie,Jordan Spieth,Christiaan Bezuidenhout
Example Entry 13,Emiliano Grillo,Adrien Dumont de Chassart,Gary Woodland,Rico Hoey,Justin Thomas,Austin Smotherman
Example Entry 14,Ryo Hisatsune,Davis Chatfield,Joel Dahmen,Pierceson Coody,Webb Simpson,Billy Horschel
Example Entry 15,Ricky Castillo,Kevin Roy,Tony Finau,Jacob Bridgeman,Bud Cauley,Chandler Blanchet
Example Entry 16,Max McGreevy,Karl Vilips,Joel Dahmen,David Lipsky,Zach Bauchou,Sungjae Im
Example Entry 17,Patrick Cantlay,Matt Fitzpatrick,Doug Ghim,Rasmus Neergaard-Petersen,Justin Thomas,Viktor Hovland
Example Entry 18,Zach Bauchou,Webb Simpson,Joel Dahmen,Brandt Snedeker,Jordan Spieth,A.J. Ewart
Example Entry 19,Davis Thompson,Adrien Dumont de Chassart,Patrick Cantlay,Blades Brown,Kevin Roy,Davis Chatfield
Example Entry 20,David Skinns,Billy Horschel,Max McGreevy,Sam Ryder,Seamus Power,Marco Penge
Example Entry 21,Rasmus Højgaard,John VanDerLaan,Alejandro Tosti,Jacob Bridgeman,Jesper Svensson,Andrew Putnam
Example Entry 22,Emiliano Grillo,Kevin Yu,Jimmy Stanger,Kensei Hirata,David Lipsky,Gary Woodland
Example Entry 23,Xander Schauffele,Pierceson Coody,Emiliano Grillo,Jesper Svensson,Doug Ghim,Zac Blair
Example Entry 24,Chandler Blanchet,Max McGreevy,Davis Chatfield,Brandt Snedeker,Lee Hodges,John Parry
Example Entry 25,Xander Schauffele,Davis Thompson,Sungjae Im,Bud Cauley,Kris Ventura,Tom Kim
